Acres,FamilyIncome,FamilyType,NumBedrooms,NumChildren,NumPeople,NumRooms,NumUnits,NumVehicles,NumWorkers,OwnRent,YearBuilt,HouseCosts,ElectricBill,FoodStamp,HeatingFuel,Insurance,Language,LogFamilyIncome,FamilyIncomeGreaterThanOrEqualTo150000
10-Jan,17100,Married,4,0,3,8,Single detached,0,0,Mortgage,Before 1939,750,70,Yes,Oil,700,English,9.746833742,FALSE
10-Jan,17400,Male Head,3,4,6,6,Single detached,2,0,Rented,1940-1949,600,220,Yes,Gas,0,English,9.764225485,FALSE
10-Jan,17400,Married,3,0,2,6,Single detached,1,0,Mortgage,1980-1989,250,110,Yes,Other,150,English,9.764225485,FALSE
10-Jan,17500,Male Head,2,0,2,3,Single attached,1,1,Rented,1960-1969,1100,110,No,Gas,0,Asian Pacific,9.76995616,FALSE
10-Jan,17500,Married,3,0,2,10,Single detached,2,1,Mortgage,1980-1989,880,200,No,Oil,700,English,9.76995616,FALSE
10-Jan,17600,Female Head,2,1,3,5,Single detached,2,1,Rented,1960-1969,950,480,No,Gas,0,English,9.775654181,FALSE
10-Jan,17600,Female Head,3,0,3,6,Single detached,2,1,Mortgage,Before 1939,500,340,Yes,Oil,400,English,9.775654181,FALSE
10-Jan,17600,Married,1,1,4,2,Single detached,0,2,Rented,1970-1979,730,180,Yes,Gas,0,Spanish,9.775654181,FALSE
10-Jan,17700,Married,2,1,3,5,Single detached,2,1,Rented,Before 1939,600,200,No,Electricity,0,English,9.781319919,FALSE
10-Jan,17800,Female Head,2,3,4,9,Single detached,1,1,Rented,2005,530,130,Yes,Oil,0,English,9.786953736,FALSE
10-Jan,17800,Married,2,0,2,4,Mobile home,1,0,Rented,2000-2004,500,100,No,Oil,0,English,9.786953736,FALSE
10-Jan,18000,Female Head,2,2,3,4,Mobile home,2,0,Rented,1970-1979,500,200,Yes,Oil,0,English,9.798127037,FALSE
10-Jan,18000,Female Head,3,1,3,5,Mobile home,2,1,Rented,1980-1989,700,150,Yes,Gas,0,English,9.798127037,FALSE
10-Jan,18000,Female Head,3,1,3,6,Single detached,1,0,Rented,1970-1979,400,280,No,Oil,0,English,9.798127037,FALSE
10-Jan,18000,Female Head,4,0,4,21,Single detached,2,2,Rented,Before 1939,2100,160,No,Oil,0,English,9.798127037,FALSE
10-Jan,18000,Male Head,1,0,2,2,Mobile home,2,2,Rented,1990-1999,200,150,No,Electricity,0,English,9.798127037,FALSE
10-Jan,18000,Male Head,2,1,2,5,Single detached,1,1,Mortgage,1950-1959,560,100,No,Gas,450,English,9.798127037,FALSE
10-Jan,18000,Male Head,3,2,6,5,Single detached,2,0,Mortgage,1950-1959,980,410,No,Wood,0,English,9.798127037,FALSE
10-Jan,18000,Male Head,4,1,3,8,Single detached,2,1,Rented,Before 1939,600,130,No,Oil,0,English,9.798127037,FALSE
10-Jan,18000,Male Head,5,4,8,8,Single detached,2,1,Mortgage,1990-1999,390,80,No,Gas,600,Spanish,9.798127037,FALSE
10-Jan,18000,Married,2,0,2,5,Single detached,2,0,Outright,Before 1939,4,90,No,Gas,600,English,9.798127037,FALSE
10-Jan,18000,Married,2,1,3,4,Mobile home,1,1,Rented,1980-1989,550,190,Yes,Oil,0,English,9.798127037,FALSE
10-Jan,18000,Married,2,1,3,5,Single detached,2,1,Mortgage,Before 1939,130,120,Yes,Oil,120,English,9.798127037,FALSE
10-Jan,18000,Married,2,1,3,6,Single detached,2,2,Mortgage,1950-1959,520,150,No,Gas,600,English,9.798127037,FALSE
10-Jan,18000,Married,3,0,2,6,Single detached,2,0,Mortgage,1980-1989,900,110,No,Gas,600,English,9.798127037,FALSE
10-Jan,18000,Married,3,0,3,8,Mobile home,3,2,Mortgage,2000-2004,600,130,No,Gas,500,English,9.798127037,FALSE
10-Jan,18100,Married,3,0,2,5,Mobile home,2,0,Mortgage,1970-1979,490,140,Yes,Oil,500,English,9.803667217,FALSE
